Date	Name	Duration					
03.04.2016	Android: Netrunner	0.6	online	Hayley - Pitchfork	HB-ETF	win	RDI
03.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Hayley	win	concede after all-seeing-i
03.04.2016	Android: Netrunner	0.3	online	Hayley - Pitchfork	Blue Sun	win	clot - Government Takeover
03.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Professor	lose	nerve agent
04.04.2016	Android: Netrunner	0.5					
04.04.2016	Android: Netrunner	0.5					
04.04.2016	Android: Netrunner	0.5					
04.04.2016	Tash-Kalar	1					
04.04.2016	Village	2					
04.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Hayley	win	concede after all-seeing-i / closed accounts
04.04.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Andromeda	win	score
06.04.2016	Alchemists	2					
06.04.2016	Warhammer: Invasion	0.75					
06.04.2016	Five Tribes	2					
07.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Edward Kim	win	kitty
07.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	CT	win	score
08.04.2016	Android: Netrunner	0.6	online	Hayley - Pitchfork	NEXT	win	RDI
09.04.2016	Android: Netrunner	0.4	online	Hayley - Pitchfork	Cybernetics Division	lose	snare
10.04.2016	Fire in the Lake	5					
10.04.2016	Android: Netrunner	0.5					
10.04.2016	Android: Netrunner	0.5					
10.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Jesminder	win	score
11.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Maxx	win	score
12.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Noise	lose	decked
12.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Gabe	lose	HQ: 1/5, 1/5, 1/5, 1/4
12.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Andromeda	lose	tag floating medium
13.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Gabe	win	score
13.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Gabe	win	kitty
13.04.2016	Android: Netrunner	0.4	online	Hayley - Pitchfork	ETF	lose	score
13.04.2016	Android: Netrunner	0.4	online	Hayley - Pitchfork	ETF	lose	score
14.04.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Gabe	win	kitty
14.04.2016	Specter Ops	3					
14.04.2016	Smash Up	0.6					
14.04.2016	Android: Netrunner	0.5					
14.04.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Hayley	win	kitty
16.04.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Kate	win	score
16.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Nero	win	score
16.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Hayley	win	concede after all-seeing-i / closed accounts
17.04.2016	Android: Netrunner	0.5					
17.04.2016	Fury of Dracula	5					
17.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Andromeda	lose	R&D luck
18.04.2016	Android: Netrunner	0.4	online	Hayley - Pitchfork	NEH	lose	score
18.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Noise	lose	decked
18.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Reina	lose	R&D luck
18.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Leela	win	score
19.04.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Andromeda	win	score
19.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Whizzard	win	score
19.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	CT	win	score
19.04.2016	Android: Netrunner	0.1	online	Sync - Here kitty kitty!	Leela	lose	agenda flood
20.04.2016	Android: Netrunner	0.5	online	Hayley - Pitchfork	Palana	lose	score
20.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Noise	win	score
20.04.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Whizzard	lose	decked
20.04.2016	Yinsh	0.5					
20.04.2016	Tides of Time	0.5					
20.04.2016	Sylvion	1					
20.04.2016	Imperial Settlers	2					
20.04.2016	Battle Line	0.25					
20.04.2016	Hive	0.15					
21.04.2016	Android: Netrunner	0.3	online	Geist	Brewery	lose	flatline
21.04.2016	Android: Netrunner	0.3	online	Geist	PE	lose	score
21.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Kit	win	kitty
21.04.2016	Android: Netrunner	0.3	online	Geist	PE	win	legwork
22.04.2016	Android: Netrunner	0.3	online	Geist	CI	win	legwork
22.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Edward Kim	win	score
22.04.2016	Android: Netrunner	0.3	online	Geist	Harmony Medtech	win	legwork
22.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Noise	lose	decked
24.04.2016	Isle of Skye	0.6					
26.04.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Kate	win	score
26.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Exile	win	score
26.04.2016	Pünct	0.7					
26.04.2016	Pünct	0.7					
26.04.2016	Burgle Bros	1.5					
26.04.2016	Dvonn	0.7					
27.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Adam	win	score
27.04.2016	Android: Netrunner	0.3	online	Geist	IG	lose	"decked"
27.04.2016	Android: Netrunner	0.5	online	Whizzard	Tennin	win	R&D
27.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Jesminder	win	score
27.04.2016	Android: Netrunner	0.1	online	Sync - Here kitty kitty!	Leela	win	concede
27.04.2016	Android: Netrunner	0.4	online	Sync - Here kitty kitty!	Hayley	win	score
27.04.2016	Brew Crafters: Card game	0.3					
28.04.2016	Android: Netrunner	0.4	online	Geist	RP	lose	score
28.04.2016	Android: Netrunner	0.4	online	Geist	HB	lose	score
28.04.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Leela	win	kitty
28.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Sunny	win	score
28.04.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Noise	win	score (0 cards left, Jackson back CVS)
