Date	Name	Duration				
01.10.2017	Patchwork	0.4	H - M *			
03.10.2017	Space Cadets: Away Missions	0.5	Mercury: Alien Probe - win			
04.10.2017	La Granja - No Siesta	1.25	* M (65) - H(47) - S(43)			
04.10.2017	Castles of Burgundy: Card Game	1.25	*M - S - H			
04.10.2017	Tides of Time	0.3	*M - S			
05.10.2017	Space Cadets: Away Missions	1.2	Venus: Escape the Slave Saucer - win			
06.10.2017	Terraforming Mars	1				
06.10.2017	Star Realms	0.3	Steelwurm Insurgents: -76			
06.10.2017	Star Realms	0.3	Steelwurm Insurgents: 26			
06.10.2017	Star Realms	0.3	Steelwurm Insurgents: 42			
06.10.2017	Aeons End	1	Crone - win			
06.10.2017	Apex: Theropod	0.6	Utahraptor - Mapusaurus: lose			
06.10.2017	Apex: Theropod	0.6	Utahraptor - Mapusaurus: lose			
08.10.2017	Sentinels of the Multiverse	1	Tachyon, Legacy, Ra vs Infinitor @ The Enclave of the Endlings - win			
08.10.2017	FUSE	0.2	Insane - 9 remaining			
08.10.2017	FUSE	0.2	Insane - 3 remaining			
08.10.2017	Limes	0.2	45 pts			
08.10.2017	La Granja - No Siesta	1	 54 pts			
11.10.2017	Pandemic: The Cure	0.4	Field Director, Operations Expert, Dispatcher - lose			
11.10.2017	Pandemic: The Cure	0.4	Troubleshooter, Epidemiologist, Dispatcher - win			
11.10.2017	Rallyman	0.7	October challenge			
13.10.2017	Nautilion	0.8	All expansions - win			
13.10.2017	Castellion	0.1	lose			
13.10.2017	Castellion	0.1	lose			
13.10.2017	Castellion	0.1	lose			
13.10.2017	Castellion	0.2	win			
14.10.2017	Sylvion	0.6	win			
14.10.2017	Onirim	0.4	Book of Steps Lost and Found + Dreamcatchers - win			
14.10.2017	Urbion	0.3	(first) win (ever) - 12 remaining			
14.10.2017	Star Realms	0.3	Steelwurm Insurgents: 8			
14.10.2017	Star Realms	0.3	Steelwurm Insurgents: 31			
14.10.2017	Glass Road	0.9	29			
14.10.2017	7 Wonders Duel	0.4	Pericles - Military win			
15.10.2017	Coffee Roaster	0.8	18 pts			
18.10.2017	This War of Mine	2	Katia, Anton, Boris - Day 4 lose			
18.10.2017	Terraforming Mars	1	Teractor - lose - 2oxy, 1 ocean			
19.10.2017	Tavarua	1	10 + 7 + 3 + 2 = 22			
19.10.2017	Mechs vs Minions	1.5	Mission 9: win			
19.10.2017	51st State	0.8	54 - 36 win			
20.10.2017	Roads & Boats	1.5	Mesopotamia - 150 (0 shares, 2 coins, 1 gold, 6 wonder)			
20.10.2017	Roads & Boats	1	Mesopotamia - 70 (0 shares, 0 coins, 6 gold, 1 wonder)			
21.10.2017	Roads & Boats	1	Mesopotamia - 220 (1 shares, 1 coins, 4 gold, 2 wonder)			
22.10.2017	Roads & Boats	1	Mesopotamia - 350 (2 shares, 1 coins, 2 gold, 5 wonder)			
